XML_ID;DETAIL;MORE;
24265100-0963-11e3-88a1-002618a8d26d;SYNCRO;SYNCRO;
24296b23-31fe-11e6-8401-d067e5f9e4b1;SYNCRO;UPDATE;
24296b38-31fe-11e6-8401-d067e5f9e4b1;SYNCRO;SYNCRO;
24296b47-31fe-11e6-8401-d067e5f9e4b1;SYNCRO;UPDATE;
246b4240-f3a5-11e4-a37e-002618a8d26d;SYNCRO;SYNCRO;
2471fd2d-5dc8-11e4-ad56-002618a8d26d;SYNCRO;SYNCRO;
2471fd42-5dc8-11e4-ad56-002618a8d26d;SYNCRO;SYNCRO;
24728042-b1b8-11e4-ad56-002618a8d26d;SYNCRO;SYNCRO;
24728057-b1b8-11e4-ad56-002618a8d26d;SYNCRO;SYNCRO;
24931b1f-87ea-11e3-b175-002618a8d26d;SYNCRO;UPDATE;
24931b27-87ea-11e3-b175-002618a8d26d;SYNCRO;UPDATE;
24931b30-87ea-11e3-b175-002618a8d26d;SYNCRO;UPDATE;
24931b39-87ea-11e3-b175-002618a8d26d;SYNCRO;UPDATE;
24931b42-87ea-11e3-b175-002618a8d26d;SYNCRO;UPDATE;
24931b4b-87ea-11e3-b175-002618a8d26d;SYNCRO;UPDATE;
24931b54-87ea-11e3-b175-002618a8d26d;SYNCRO;UPDATE;
24931b5c-87ea-11e3-b175-002618a8d26d;SYNCRO;UPDATE;
24cce65e-ea5e-11e4-a37e-002618a8d26d;SYNCRO;UPDATE;
24cce673-ea5e-11e4-a37e-002618a8d26d;SYNCRO;SYNCRO;
24cce688-ea5e-11e4-a37e-002618a8d26d;SYNCRO;SYNCRO;
2546a1ec-0d65-11de-8606-0013d44b3f63;SYNCRO;UPDATE;
2546a1ee-0d65-11de-8606-0013d44b3f63;SYNCRO;UPDATE;
259aa9c8-8ce4-11e0-af14-002618a8d26d;SYNCRO;UPDATE;
25d7b1b7-f903-11dd-85f3-0013d44b3f63;SYNCRO;SYNCRO;
25d7b1bd-f903-11dd-85f3-0013d44b3f63;SYNCRO;UPDATE;
25d7b1c0-f903-11dd-85f3-0013d44b3f63;SYNCRO;UPDATE;
25d7b1d5-f903-11dd-85f3-0013d44b3f63;SYNCRO;UPDATE;
2639c1e5-6bcb-11e4-ad56-002618a8d26d;SYNCRO;SYNCRO;
264344a6-db27-11de-b5d0-002197d362b4;SYNCRO;UPDATE;
26a2e224-4115-11e3-91ba-002618a8d26d;SYNCRO;SYNCRO;
26a2e22d-4115-11e3-91ba-002618a8d26d;SYNCRO;SYNCRO;
